SYNCHRONY FINANCIAL  (SYF) CashFlowFlag BALANCE SHEET
Fiscal year ends in December. USD.,2013-12,2014-12,2015-12,2016-12,2017-12
Assets
Cash and cash equivalents,2319000000,11828000000,12325000000,9321000000,11602000000
Investments,236000000,1598000000,3142000000,5110000000,4488000000
Loans,54362000000,58382000000,64793000000,71993000000,76373000000
Goodwill,949000000,949000000,949000000,949000000,991000000
Other intangible assets,300000000,519000000,701000000,712000000,749000000
Other assets,919000000,2431000000,2225000000,2122000000,1605000000
Total assets,59085000000,75707000000,84135000000,90207000000,95808000000
Liabilities and stockholders' equity
Liabilities
Deposits,25719000000,34955000000,43447000000,52055000000,56488000000
Payables and accrued expenses,12044000000,2814000000,3740000000,3809000000,4287000000
Long-term debt,15362000000,27460000000,24344000000,20147000000,20799000000
Total liabilities,53125000000,65229000000,71531000000,76011000000,81574000000
Stockholders' equity
Common stock,5960000000,1000000,1000000,1000000,1000000
Other Equity,-1000000,-2000000,-12000000,,-28000000
Additional paid-in capital,,9408000000,9351000000,9393000000,9445000000
Retained earnings,,1079000000,3293000000,5330000000,6809000000
Treasury stock,,,,-475000000,-1957000000
Accumulated other comprehensive income,1000000,-8000000,-29000000,-53000000,-36000000
Total stockholders' equity,5960000000,10478000000,12604000000,14196000000,14234000000
Total liabilities and stockholders' equity,59085000000,75707000000,84135000000,90207000000,95808000000
